time,gFx,gFy,gFz,TgF
0.6740,0.0597,-0.0444,0.9861,0.989
0.6760,0.0578,-0.0449,0.9852,0.988
0.6790,0.0553,-0.0468,0.9861,0.989
0.6870,0.0553,-0.0478,0.9876,0.990
0.6880,0.0563,-0.0464,0.9905,0.993
0.6880,0.0558,-0.0464,0.9944,0.997
0.6880,0.0548,-0.0459,0.9979,1.000
0.6920,0.0548,-0.0454,0.9984,1.001
0.6940,0.0544,-0.0459,0.9974,1.000
0.7040,0.0544,-0.0464,0.9959,0.998
0.7050,0.0553,-0.0459,0.9949,0.998
0.7050,0.0553,-0.0468,0.9940,0.997
0.7050,0.0548,-0.0449,0.9920,0.995
0.7070,0.0558,-0.0434,0.9852,0.988
0.7080,0.0539,-0.0444,0.9803,0.983
0.7120,0.0544,-0.0434,0.9813,0.984
0.7170,0.0548,-0.0424,0.9813,0.984
0.7170,0.0548,-0.0444,0.9817,0.984
0.7190,0.0548,-0.0444,0.9822,0.985
0.7210,0.0529,-0.0454,0.9822,0.985
0.7250,0.0519,-0.0454,0.9847,0.987
0.7270,0.0529,-0.0478,0.9881,0.991
0.7280,0.0544,-0.0483,0.9901,0.993
0.7310,0.0544,-0.0454,0.9930,0.996
0.7350,0.0558,-0.0454,0.9954,0.998
0.7350,0.0539,-0.0483,0.9969,1.000
0.7390,0.0539,-0.0478,0.9984,1.001
0.7420,0.0553,-0.0449,0.9969,0.999
0.7440,0.0568,-0.0439,0.9940,0.997
0.7490,0.0597,-0.0434,0.9905,0.993
0.7490,0.0612,-0.0424,0.9866,0.989
0.7510,0.0636,-0.0410,0.9852,0.988
0.7540,0.0627,-0.0410,0.9822,0.985
0.7580,0.0641,-0.0405,0.9842,0.987
0.7610,0.0636,-0.0410,0.9852,0.988
0.7610,0.0617,-0.0405,0.9847,0.987
0.7670,0.0602,-0.0405,0.9881,0.991
0.7680,0.0612,-0.0420,0.9901,0.993
0.7680,0.0602,-0.0424,0.9925,0.995
0.7700,0.0617,-0.0434,0.9964,0.999
0.7730,0.0607,-0.0449,0.9993,1.002
0.7760,0.0592,-0.0434,1.0018,1.004
0.7810,0.0592,-0.0434,1.0018,1.004
0.7850,0.0578,-0.0449,1.0013,1.004
0.7860,0.0592,-0.0444,0.9988,1.002
0.7860,0.0592,-0.0439,0.9974,1.000
0.7890,0.0588,-0.0439,0.9944,0.997
0.7920,0.0592,-0.0444,0.9896,0.992
0.7920,0.0583,-0.0444,0.9896,0.992
0.7970,0.0578,-0.0459,0.9881,0.991
0.8020,0.0563,-0.0464,0.9881,0.991
0.8020,0.0544,-0.0459,0.9886,0.991
0.8020,0.0548,-0.0468,0.9886,0.991
0.8070,0.0544,-0.0493,0.9901,0.993
0.8070,0.0548,-0.0493,0.9925,0.995
0.8110,0.0548,-0.0503,0.9944,0.997
0.8140,0.0558,-0.0503,0.9974,1.000
0.8170,0.0573,-0.0512,1.0003,1.003
0.8170,0.0583,-0.0512,0.9998,1.003
0.8220,0.0597,-0.0512,0.9993,1.002
0.8220,0.0602,-0.0508,0.9993,1.002
0.8270,0.0627,-0.0503,0.9969,1.000
0.8320,0.0666,-0.0498,0.9925,0.996
0.8330,0.0651,-0.0488,0.9881,0.991
0.8360,0.0661,-0.0488,0.9857,0.989
0.8360,0.0656,-0.0478,0.9842,0.988
0.8390,0.0651,-0.0483,0.9837,0.987
0.8420,0.0636,-0.0493,0.9822,0.986
0.8430,0.0622,-0.0498,0.9827,0.986
0.8480,0.0592,-0.0498,0.9857,0.989
0.8480,0.0588,-0.0483,0.9876,0.991
0.8500,0.0573,-0.0498,0.9905,0.993
0.8540,0.0558,-0.0512,0.9905,0.993
0.8550,0.0553,-0.0512,0.9954,0.998
0.8600,0.0529,-0.0522,0.9984,1.001
0.8600,0.0524,-0.0552,0.9988,1.002
0.8640,0.0509,-0.0547,0.9993,1.002
0.8690,0.0524,-0.0537,0.9984,1.001
0.8690,0.0524,-0.0532,0.9944,0.997
0.8710,0.0524,-0.0527,0.9920,0.995
0.8730,0.0548,-0.0517,0.9910,0.994
0.8760,0.0553,-0.0522,0.9901,0.993
0.8790,0.0563,-0.0517,0.9891,0.992
0.8800,0.0568,-0.0522,0.9876,0.991
0.8830,0.0573,-0.0522,0.9876,0.991
0.8860,0.0583,-0.0522,0.9886,0.992
0.8900,0.0597,-0.0532,0.9905,0.994
0.8900,0.0588,-0.0542,0.9920,0.995
0.8940,0.0592,-0.0537,0.9954,0.999
0.9000,0.0607,-0.0537,0.9979,1.001
0.9010,0.0627,-0.0542,1.0003,1.004
0.9010,0.0641,-0.0542,1.0008,1.004
0.9050,0.0646,-0.0527,1.0013,1.005
0.9050,0.0656,-0.0522,0.9993,1.003
0.9080,0.0676,-0.0522,0.9993,1.003
0.9110,0.0690,-0.0512,0.9944,0.998
0.9160,0.0685,-0.0498,0.9920,0.996
0.9170,0.0685,-0.0483,0.9905,0.994
0.9190,0.0685,-0.0488,0.9896,0.993
0.9200,0.0695,-0.0488,0.9905,0.994
0.9240,0.0680,-0.0478,0.9905,0.994
0.9260,0.0671,-0.0459,0.9910,0.994
0.9310,0.0676,-0.0473,0.9930,0.996
0.9310,0.0656,-0.0454,0.9940,0.997
0.9330,0.0666,-0.0444,0.9988,1.002
0.9370,0.0656,-0.0439,1.0023,1.005
0.9380,0.0607,-0.0434,1.0037,1.007
0.9400,0.0597,-0.0429,1.0057,1.008
0.9440,0.0602,-0.0429,1.0057,1.008
0.9480,0.0573,-0.0434,1.0037,1.006
0.9480,0.0583,-0.0444,1.0028,1.005
0.9510,0.0563,-0.0429,1.0003,1.003
0.9530,0.0558,-0.0429,0.9959,0.998
0.9570,0.0553,-0.0434,0.9925,0.995
0.9570,0.0548,-0.0444,0.9891,0.992
0.9650,0.0534,-0.0449,0.9861,0.989
0.9660,0.0534,-0.0464,0.9832,0.986
0.9660,0.0534,-0.0449,0.9827,0.985
0.9680,0.0553,-0.0459,0.9837,0.986
0.9710,0.0539,-0.0483,0.9837,0.986
0.9730,0.0509,-0.0493,0.9842,0.987
0.9750,0.0539,-0.0517,0.9857,0.988
0.9780,0.0509,-0.0532,0.9866,0.989
0.9820,0.0495,-0.0522,0.9861,0.989
0.9820,0.0514,-0.0503,0.9876,0.990
0.9850,0.0524,-0.0478,0.9886,0.991
0.9890,0.0539,-0.0493,0.9847,0.987
0.9910,0.0534,-0.0503,0.9808,0.984
0.9920,0.0519,-0.0517,0.9759,0.979
0.9970,0.0509,-0.0522,0.9725,0.975
0.9980,0.0519,-0.0512,0.9715,0.974
0.9990,0.0500,-0.0488,0.9725,0.975
1.0020,0.0490,-0.0493,0.9720,0.974
1.0060,0.0475,-0.0512,0.9725,0.975
1.0120,0.0480,-0.0547,0.9749,0.978
1.0120,0.0470,-0.0576,0.9808,0.984
1.0150,0.0475,-0.0576,0.9852,0.988
1.0160,0.0490,-0.0566,0.9930,0.996
1.0170,0.0495,-0.0576,0.9988,1.002
1.0190,0.0480,-0.0586,1.0047,1.008
1.0230,0.0504,-0.0600,1.0067,1.010
1.0240,0.0534,-0.0610,1.0111,1.014
1.0260,0.0558,-0.0620,1.0140,1.017
1.0290,0.0558,-0.0620,1.0120,1.015
1.0320,0.0592,-0.0581,1.0081,1.012
1.0350,0.0622,-0.0556,1.0057,1.009
1.0370,0.0666,-0.0542,1.0023,1.006
1.0400,0.0680,-0.0542,0.9974,1.001
1.0430,0.0680,-0.0581,0.9925,0.997
1.0450,0.0666,-0.0635,0.9871,0.991
1.0470,0.0651,-0.0649,0.9886,0.993
1.0490,0.0646,-0.0644,0.9901,0.994
1.0520,0.0651,-0.0595,0.9954,0.999
1.0550,0.0651,-0.0561,0.9974,1.001
1.0580,0.0666,-0.0591,0.9993,1.003
1.0600,0.0676,-0.0630,1.0008,1.005
1.0610,0.0680,-0.0669,1.0018,1.006
1.0690,0.0680,-0.0683,1.0042,1.009
1.0690,0.0676,-0.0649,1.0076,1.012
1.0690,0.0671,-0.0620,1.0106,1.015
1.0720,0.0671,-0.0615,1.0076,1.012
1.0760,0.0666,-0.0600,1.0052,1.009
1.0840,0.0671,-0.0591,1.0023,1.006
1.0840,0.0680,-0.0595,1.0008,1.005
1.0850,0.0676,-0.0591,0.9993,1.003
1.0850,0.0651,-0.0586,0.9969,1.001
1.0860,0.0641,-0.0566,0.9969,1.001
1.0900,0.0656,-0.0552,0.9969,1.001
1.0920,0.0671,-0.0532,0.9954,0.999
1.0940,0.0656,-0.0547,0.9979,1.002
1.0970,0.0636,-0.0537,0.9993,1.003
1.0990,0.0583,-0.0542,1.0008,1.004
1.1030,0.0578,-0.0561,1.0013,1.005
1.1040,0.0573,-0.0547,1.0018,1.005
1.1070,0.0583,-0.0537,1.0008,1.004
1.1100,0.0607,-0.0527,0.9993,1.003
1.1130,0.0607,-0.0508,0.9988,1.002
1.1190,0.0607,-0.0503,0.9949,0.998
1.1190,0.0607,-0.0498,0.9925,0.996
1.1190,0.0612,-0.0464,0.9891,0.992
1.1220,0.0617,-0.0444,0.9857,0.989
1.1250,0.0632,-0.0439,0.9822,0.985
1.1270,0.0632,-0.0439,0.9803,0.983
1.1300,0.0632,-0.0439,0.9769,0.980
1.1320,0.0602,-0.0429,0.9764,0.979
1.1340,0.0612,-0.0410,0.9754,0.978
1.1380,0.0583,-0.0405,0.9754,0.978
1.1380,0.0568,-0.0400,0.9769,0.979
1.1410,0.0563,-0.0395,0.9788,0.981
1.1450,0.0563,-0.0395,0.9813,0.984
1.1470,0.0544,-0.0405,0.9813,0.984
1.1490,0.0524,-0.0424,0.9803,0.983
1.1530,0.0553,-0.0429,0.9832,0.986
1.1530,0.0539,-0.0410,0.9847,0.987
1.1570,0.0519,-0.0381,0.9847,0.987
1.1610,0.0524,-0.0376,0.9847,0.987
1.1620,0.0529,-0.0346,0.9837,0.986
1.1640,0.0529,-0.0376,0.9817,0.984
1.1670,0.0509,-0.0385,0.9778,0.980
1.1690,0.0500,-0.0390,0.9759,0.978
1.1730,0.0500,-0.0395,0.9749,0.977
1.1750,0.0509,-0.0381,0.9764,0.978
1.1810,0.0500,-0.0390,0.9769,0.979
1.1810,0.0500,-0.0400,0.9788,0.981
1.1810,0.0465,-0.0439,0.9798,0.982
1.1830,0.0470,-0.0459,0.9822,0.984
1.1880,0.0465,-0.0478,0.9847,0.987
1.1880,0.0480,-0.0483,0.9876,0.990
1.1910,0.0490,-0.0483,0.9901,0.992
1.1960,0.0485,-0.0493,0.9881,0.991
1.1970,0.0504,-0.0488,0.9876,0.990
1.2010,0.0529,-0.0503,0.9847,0.987
1.2010,0.0568,-0.0512,0.9847,0.988
1.2050,0.0573,-0.0517,0.9857,0.989
1.2090,0.0573,-0.0527,0.9852,0.988
1.2110,0.0578,-0.0527,0.9847,0.988
1.2140,0.0573,-0.0537,0.9847,0.988
1.2140,0.0578,-0.0547,0.9857,0.989
1.2170,0.0592,-0.0556,0.9857,0.989
1.2190,0.0592,-0.0571,0.9876,0.991
1.2220,0.0588,-0.0561,0.9925,0.996
1.2230,0.0602,-0.0571,0.9969,1.000
1.2260,0.0578,-0.0615,1.0008,1.004
1.2280,0.0568,-0.0605,1.0013,1.005
1.2310,0.0592,-0.0600,1.0032,1.007
1.2350,0.0612,-0.0595,1.0042,1.008
1.2360,0.0602,-0.0591,1.0037,1.007
1.2390,0.0597,-0.0581,1.0032,1.007
1.2420,0.0622,-0.0576,1.0003,1.004
1.2440,0.0627,-0.0571,0.9993,1.003
1.2470,0.0617,-0.0566,0.9940,0.997
1.2500,0.0617,-0.0581,0.9915,0.995
1.2510,0.0641,-0.0576,0.9871,0.991
1.2540,0.0622,-0.0566,0.9842,0.988
1.2570,0.0602,-0.0561,0.9813,0.985
1.2580,0.0607,-0.0547,0.9827,0.986
1.2620,0.0592,-0.0542,0.9832,0.986
1.2640,0.0578,-0.0532,0.9847,0.988
1.2660,0.0573,-0.0552,0.9861,0.989
1.2700,0.0573,-0.0537,0.9871,0.990
1.2710,0.0553,-0.0556,0.9881,0.991
1.2740,0.0558,-0.0556,0.9891,0.992
1.2760,0.0548,-0.0547,0.9905,0.994
1.2780,0.0548,-0.0542,0.9910,0.994
1.2810,0.0534,-0.0542,0.9896,0.992
1.2840,0.0544,-0.0527,0.9886,0.991
1.2860,0.0558,-0.0522,0.9871,0.990
1.2880,0.0548,-0.0527,0.9861,0.989
1.2930,0.0568,-0.0517,0.9852,0.988
1.2970,0.0578,-0.0503,0.9842,0.987
1.2970,0.0568,-0.0498,0.9842,0.987
1.2990,0.0563,-0.0503,0.9827,0.986
1.3010,0.0568,-0.0498,0.9847,0.988
1.3040,0.0568,-0.0473,0.9842,0.987
1.3080,0.0558,-0.0478,0.9876,0.990
1.3080,0.0568,-0.0483,0.9896,0.992
1.3110,0.0583,-0.0473,0.9886,0.991
1.3160,0.0592,-0.0483,0.9901,0.993
1.3170,0.0592,-0.0473,0.9901,0.993
1.3220,0.0602,-0.0468,0.9896,0.992
1.3220,0.0617,-0.0468,0.9905,0.994
1.3250,0.0632,-0.0459,0.9891,0.992
1.3300,0.0646,-0.0449,0.9871,0.990
1.3300,0.0656,-0.0449,0.9857,0.989
1.3310,0.0632,-0.0459,0.9852,0.988
1.3340,0.0636,-0.0459,0.9827,0.986
1.3350,0.0671,-0.0454,0.9832,0.987
1.3380,0.0661,-0.0424,0.9832,0.986
1.3400,0.0641,-0.0429,0.9847,0.988
1.3470,0.0641,-0.0454,0.9857,0.989
1.3480,0.0636,-0.0444,0.9876,0.991
1.3480,0.0641,-0.0454,0.9905,0.994
