time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
3.181,-0.32,-0.03,0.94,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00
3.183,-0.32,-0.03,0.94,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00
3.239,-0.32,-0.03,0.94,-0.00,0.00,0.00,-0.00,-0.00,-0.00,0.00
3.242,-0.32,-0.03,0.94,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00
3.245,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00
3.308,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,-0.00,0.00,0.00
3.309,-0.32,-0.03,0.94,-0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00
3.31,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
3.36,-0.32,-0.03,0.94,0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
3.361,-0.32,-0.03,0.94,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00
3.361,-0.32,-0.03,0.94,0.00,-0.00,0.01,-0.00,0.00,-0.00,0.00
3.419,-0.32,-0.03,0.94,0.00,-0.00,0.01,-0.00,0.00,-0.00,0.00
3.422,-0.32,-0.03,0.94,0.00,-0.00,0.01,0.00,0.00,-0.00,0.00
3.423,-0.32,-0.03,0.94,0.00,0.00,0.01,0.00,0.00,-0.00,0.00
3.478,-0.32,-0.03,0.94,0.00,0.00,0.01,0.00,0.00,-0.00,0.00
3.48,-0.32,-0.03,0.94,0.00,0.00,0.01,0.00,0.00,-0.00,0.00
3.482,-0.32,-0.03,0.94,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
3.539,-0.32,-0.03,0.94,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
3.542,-0.32,-0.03,0.94,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00
3.544,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,0.00,-0.00,0.00
3.607,-0.32,-0.03,0.94,-0.00,0.00,-0.00,0.00,-0.00,-0.00,0.00
3.61,-0.32,-0.03,0.94,0.00,-0.01,0.00,0.00,-0.00,-0.00,0.00
