time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
2.639,-0.09,-0.08,0.99,-0.03,-0.04,0.02,0.00,0.00,0.00,0.00
2.674,-0.09,-0.08,0.99,-0.03,-0.04,0.02,0.00,0.00,-0.00,0.00
2.694,-0.09,-0.08,0.99,-0.03,-0.04,0.02,0.00,0.00,-0.00,0.00
2.696,-0.09,-0.08,0.99,-0.09,-0.01,0.03,0.00,0.00,-0.00,0.00
2.753,-0.09,-0.08,0.99,-0.09,-0.01,0.03,0.00,0.01,0.00,0.00
2.775,-0.09,-0.08,0.99,-0.07,-0.00,0.01,0.00,0.01,0.00,0.00
2.777,-0.09,-0.08,0.99,-0.07,-0.00,0.01,0.00,0.01,0.00,0.00
2.814,-0.09,-0.08,0.99,-0.07,-0.00,0.01,0.00,-0.00,-0.00,0.00
2.833,-0.08,-0.08,0.99,-0.07,-0.00,0.01,0.00,-0.00,-0.00,0.00
2.835,-0.08,-0.08,0.99,-0.04,-0.02,-0.02,0.00,-0.00,-0.00,0.00
2.873,-0.08,-0.08,0.99,-0.04,-0.02,-0.02,-0.00,0.00,0.00,0.00
2.893,-0.08,-0.08,0.98,-0.04,-0.02,-0.02,-0.00,0.00,0.00,0.00
2.895,-0.08,-0.08,0.98,0.03,-0.01,-0.04,-0.00,0.00,0.00,0.00
2.952,-0.08,-0.08,0.98,0.03,-0.01,-0.04,-0.00,-0.01,-0.00,0.00
2.973,-0.07,-0.08,0.98,0.03,-0.01,-0.04,-0.00,-0.01,-0.00,0.00
2.977,-0.07,-0.08,0.98,0.05,-0.02,-0.13,-0.00,-0.01,-0.00,0.00
3.012,-0.07,-0.08,0.98,0.05,-0.02,-0.13,-0.00,-0.01,-0.00,0.00
3.032,-0.07,-0.08,0.98,0.05,-0.02,-0.13,-0.00,-0.01,-0.00,0.00
3.034,-0.07,-0.08,0.98,0.09,-0.01,-0.06,-0.00,-0.01,-0.00,0.00
3.072,-0.07,-0.08,0.98,0.09,-0.01,-0.06,0.00,-0.03,-0.02,0.00
3.113,-0.09,-0.11,0.99,0.09,-0.01,-0.06,0.00,-0.03,-0.02,0.00
3.116,-0.09,-0.11,0.99,0.04,-0.03,-0.07,0.00,-0.03,-0.02,0.00
3.151,-0.09,-0.11,0.99,0.04,-0.03,-0.07,0.00,0.02,-0.39,0.00
3.172,-0.09,-0.11,0.99,-0.08,-0.27,0.02,0.00,0.02,-0.39,0.00
3.175,-0.05,-0.06,0.99,-0.08,-0.27,0.02,0.00,0.02,-0.39,0.00
3.215,-0.05,-0.06,0.99,-0.08,-0.27,0.02,0.00,-0.00,-0.11,0.00
3.232,-0.08,-0.12,1.00,-0.08,-0.27,0.02,0.00,-0.00,-0.11,0.00
3.234,-0.08,-0.12,1.00,0.22,0.20,0.07,0.00,-0.00,-0.11,0.00
3.27,-0.08,-0.12,1.00,0.22,0.20,0.07,0.00,0.03,-0.41,0.00
3.31,-0.06,-0.05,1.01,0.22,0.20,0.07,0.00,0.03,-0.41,0.00
3.311,-0.06,-0.05,1.01,-0.03,-0.30,0.11,0.00,0.03,-0.41,0.00
3.35,-0.06,-0.05,1.01,-0.03,-0.30,0.11,-0.00,0.01,-0.01,0.00
3.376,-0.07,-0.09,1.01,-0.03,-0.30,0.11,-0.00,0.01,-0.01,0.00
3.379,-0.07,-0.09,1.01,0.11,0.32,0.16,-0.00,0.01,-0.01,0.00
3.42,-0.07,-0.09,1.01,0.11,0.32,0.16,0.00,0.00,0.00,0.00
3.434,-0.08,-0.09,1.00,0.11,0.32,0.16,0.00,0.00,0.00,0.00
3.436,-0.08,-0.09,1.00,0.03,-0.04,0.13,0.00,0.00,0.00,0.00
3.469,-0.08,-0.09,1.00,0.03,-0.04,0.13,0.00,0.01,0.00,0.00
3.51,-0.07,-0.08,1.00,0.03,-0.04,0.13,0.00,0.01,0.00,0.00
3.512,-0.07,-0.08,1.00,-0.02,-0.03,0.08,0.00,0.01,0.00,0.00
3.549,-0.07,-0.08,1.00,-0.02,-0.03,0.08,0.00,0.01,0.00,0.00
3.57,-0.08,-0.08,0.99,-0.02,-0.03,0.08,0.00,0.01,0.00,0.00
3.573,-0.08,-0.08,0.99,-0.00,-0.01,0.07,0.00,0.01,0.00,0.00
3.618,-0.08,-0.08,0.99,-0.00,-0.01,0.07,-0.00,0.01,0.00,0.00
3.63,-0.08,-0.08,0.98,-0.00,-0.01,0.07,-0.00,0.01,0.00,0.00
3.631,-0.08,-0.08,0.98,-0.05,0.00,-0.00,-0.00,0.01,0.00,0.00
3.69,-0.08,-0.08,0.98,-0.05,0.00,-0.00,0.00,0.01,0.00,0.00
3.714,-0.08,-0.08,0.98,-0.03,0.00,-0.09,0.00,0.01,0.00,0.00
3.717,-0.07,-0.08,0.98,-0.03,0.00,-0.09,0.00,0.01,0.00,0.00
3.75,-0.07,-0.08,0.98,-0.03,0.00,-0.09,0.00,0.00,-0.00,0.00
3.768,-0.08,-0.08,0.97,-0.03,0.00,-0.09,0.00,0.00,-0.00,0.00
3.77,-0.08,-0.08,0.97,0.03,0.00,-0.14,0.00,0.00,-0.00,0.00
3.816,-0.08,-0.08,0.97,0.03,0.00,-0.14,-0.00,0.00,0.00,0.00
3.828,-0.08,-0.08,0.97,0.01,-0.01,-0.16,-0.00,0.00,0.00,0.00
3.83,-0.07,-0.08,0.98,0.01,-0.01,-0.16,-0.00,0.00,0.00,0.00
3.888,-0.07,-0.08,0.98,0.01,-0.01,-0.16,0.00,-0.00,0.00,0.00
3.908,-0.07,-0.08,0.98,0.01,-0.01,-0.16,0.00,-0.00,0.00,0.00
3.909,-0.07,-0.08,0.98,0.06,-0.02,-0.11,0.00,-0.00,0.00,0.00
3.947,-0.07,-0.08,0.98,0.06,-0.02,-0.11,0.00,-0.00,0.00,0.00
3.97,-0.07,-0.08,0.99,0.06,-0.02,-0.11,0.00,-0.00,0.00,0.00
3.973,-0.07,-0.08,0.99,0.01,0.00,-0.05,0.00,-0.00,0.00,0.00
4.014,-0.07,-0.08,0.99,0.01,0.00,-0.05,0.00,-0.01,-0.00,0.00
4.027,-0.07,-0.08,0.99,0.00,-0.02,0.06,0.00,-0.01,-0.00,0.00
4.028,-0.08,-0.09,0.99,0.00,-0.02,0.06,0.00,-0.01,-0.00,0.00
4.088,-0.08,-0.09,0.99,0.00,-0.02,0.06,-0.00,-0.00,0.00,0.00
4.121,-0.08,-0.09,0.99,-0.07,-0.02,0.05,-0.00,-0.00,0.00,0.00
4.123,-0.08,-0.09,0.99,-0.07,-0.02,0.05,-0.00,-0.00,0.00,0.00
4.149,-0.08,-0.09,0.99,-0.07,-0.02,0.05,-0.00,0.00,0.00,0.00
4.167,-0.08,-0.08,0.99,-0.07,-0.02,0.05,-0.00,0.00,0.00,0.00
4.169,-0.08,-0.08,0.99,-0.07,-0.02,0.05,-0.00,0.00,0.00,0.00
4.207,-0.08,-0.08,0.99,-0.07,-0.02,0.05,0.00,0.00,0.00,0.00
4.227,-0.09,-0.08,0.99,-0.07,-0.02,0.05,0.00,0.00,0.00,0.00
4.237,-0.09,-0.08,0.99,-0.05,0.01,0.05,0.00,0.00,0.00,0.00
4.287,-0.09,-0.08,0.99,-0.05,0.01,0.05,0.00,0.00,-0.00,0.00
4.318,-0.09,-0.08,0.99,-0.05,0.01,0.05,0.00,0.00,-0.00,0.00
4.32,-0.09,-0.08,0.99,-0.12,-0.01,0.03,0.00,0.00,-0.00,0.00
4.347,-0.09,-0.08,0.99,-0.12,-0.01,0.03,0.00,0.01,0.00,0.00
4.366,-0.09,-0.08,0.99,-0.09,0.00,0.03,0.00,0.01,0.00,0.00
4.368,-0.09,-0.08,0.99,-0.09,0.00,0.03,0.00,0.01,0.00,0.00
4.406,-0.09,-0.08,0.99,-0.09,0.00,0.03,0.00,0.00,0.00,0.00
4.429,-0.09,-0.08,0.99,-0.06,-0.01,-0.02,0.00,0.00,0.00,0.00
4.45,-0.08,-0.08,0.98,-0.06,-0.01,-0.02,0.00,0.00,0.00,0.00
4.485,-0.08,-0.08,0.98,-0.06,-0.01,-0.02,0.00,0.00,0.00,0.00
4.514,-0.08,-0.08,0.98,0.04,0.02,-0.07,0.00,0.00,0.00,0.00
4.516,-0.08,-0.08,0.98,0.04,0.02,-0.07,0.00,0.00,0.00,0.00
4.545,-0.08,-0.08,0.98,0.04,0.02,-0.07,0.00,-0.01,-0.00,0.00
4.565,-0.07,-0.08,0.98,0.04,0.02,-0.07,0.00,-0.01,-0.00,0.00
4.568,-0.07,-0.08,0.98,0.01,0.00,-0.07,0.00,-0.01,-0.00,0.00
4.611,-0.07,-0.08,0.98,0.01,0.00,-0.07,0.00,-0.01,-0.00,0.00
4.645,-0.07,-0.08,0.98,0.01,0.00,-0.07,0.00,-0.01,-0.00,0.00
4.647,-0.07,-0.08,0.98,0.08,-0.00,-0.06,0.00,-0.01,-0.00,0.00
4.684,-0.07,-0.08,0.98,0.08,-0.00,-0.06,-0.00,-0.01,0.00,0.00
4.715,-0.07,-0.08,0.99,0.08,-0.00,-0.06,-0.00,-0.01,0.00,0.00
4.718,-0.07,-0.08,0.99,0.05,-0.01,-0.06,-0.00,-0.01,0.00,0.00
4.744,-0.07,-0.08,0.99,0.05,-0.01,-0.06,0.00,-0.02,-0.00,0.00
4.764,-0.07,-0.08,1.00,0.05,-0.01,-0.06,0.00,-0.02,-0.00,0.00
4.766,-0.07,-0.08,1.00,0.10,-0.00,-0.02,0.00,-0.02,-0.00,0.00
4.812,-0.07,-0.08,1.00,0.10,-0.00,-0.02,-0.00,-0.01,0.00,0.00
4.844,-0.07,-0.08,1.00,0.08,-0.00,0.08,-0.00,-0.01,0.00,0.00
4.846,-0.07,-0.09,0.99,0.08,-0.00,0.08,-0.00,-0.01,0.00,0.00
4.883,-0.07,-0.09,0.99,0.08,-0.00,0.08,-0.00,-0.01,-0.00,0.00
4.911,-0.07,-0.09,1.01,0.08,-0.00,0.08,-0.00,-0.01,-0.00,0.00
4.912,-0.07,-0.09,1.01,0.06,-0.03,0.05,-0.00,-0.01,-0.00,0.00
4.943,-0.07,-0.09,1.01,0.06,-0.03,0.05,-0.00,-0.00,-0.00,0.00
4.964,-0.07,-0.08,1.00,0.06,-0.03,0.05,-0.00,-0.00,-0.00,0.00
4.965,-0.07,-0.08,1.00,0.03,-0.02,0.15,-0.00,-0.00,-0.00,0.00
5.005,-0.07,-0.08,1.00,0.03,-0.02,0.15,0.00,0.00,-0.00,0.00
5.048,-0.07,-0.08,1.00,0.03,-0.02,0.15,0.00,0.00,-0.00,0.00
5.051,-0.07,-0.08,1.00,0.04,-0.01,0.07,0.00,0.00,-0.00,0.00
5.083,-0.07,-0.08,1.00,0.04,-0.01,0.07,-0.00,0.02,0.01,0.00
5.105,-0.07,-0.08,0.99,0.04,-0.01,0.07,-0.00,0.02,0.01,0.00
5.108,-0.07,-0.08,0.99,-0.02,-0.01,0.11,-0.00,0.02,0.01,0.00
5.148,-0.07,-0.08,0.99,-0.02,-0.01,0.11,0.00,0.01,-0.00,0.00
5.163,-0.07,-0.08,0.99,-0.02,-0.01,0.11,0.00,0.01,-0.00,0.00
5.164,-0.07,-0.08,0.99,0.00,0.00,0.01,0.00,0.01,-0.00,0.00
5.23,-0.07,-0.08,0.99,0.00,0.00,0.01,0.00,0.01,-0.00,0.00
5.247,-0.07,-0.08,0.98,0.00,0.00,0.01,0.00,0.01,-0.00,0.00
5.25,-0.07,-0.08,0.98,0.02,0.01,-0.05,0.00,0.01,-0.00,0.00
5.284,-0.07,-0.08,0.98,0.02,0.01,-0.05,0.00,0.01,0.00,0.00
5.302,-0.07,-0.08,0.98,0.04,-0.01,-0.09,0.00,0.01,0.00,0.00
5.304,-0.07,-0.08,0.98,0.04,-0.01,-0.09,0.00,0.01,0.00,0.00
5.352,-0.07,-0.08,0.98,0.04,-0.01,-0.09,0.00,0.00,-0.00,0.00
5.364,-0.07,-0.08,0.98,0.04,-0.01,-0.09,0.00,0.00,-0.00,0.00
5.365,-0.07,-0.08,0.98,0.06,0.00,-0.08,0.00,0.00,-0.00,0.00
5.426,-0.07,-0.08,0.98,0.06,0.00,-0.08,-0.00,0.00,0.00,0.00
5.441,-0.07,-0.08,0.98,0.06,0.00,-0.08,-0.00,0.00,0.00,0.00
5.443,-0.07,-0.08,0.98,0.04,-0.00,-0.07,-0.00,0.00,0.00,0.00
5.483,-0.07,-0.08,0.98,0.04,-0.00,-0.07,-0.00,-0.00,0.00,0.00
5.502,-0.07,-0.08,0.98,0.00,-0.00,-0.04,-0.00,-0.00,0.00,0.00
5.503,-0.08,-0.08,0.99,0.00,-0.00,-0.04,-0.00,-0.00,0.00,0.00
5.541,-0.08,-0.08,0.99,0.00,-0.00,-0.04,0.00,0.00,0.00,0.00
5.563,-0.09,-0.08,1.00,0.00,-0.00,-0.04,0.00,0.00,0.00,0.00
5.566,-0.09,-0.08,1.00,-0.05,-0.01,0.01,0.00,0.00,0.00,0.00
5.629,-0.09,-0.08,1.00,-0.05,-0.01,0.01,0.00,-0.00,0.00,0.00
5.646,-0.09,-0.08,1.00,-0.13,-0.00,0.07,0.00,-0.00,0.00,0.00
5.649,-0.08,-0.08,1.00,-0.13,-0.00,0.07,0.00,-0.00,0.00,0.00
5.68,-0.08,-0.08,1.00,-0.13,-0.00,0.07,-0.00,0.00,0.00,0.00
5.7,-0.09,-0.08,0.99,-0.13,-0.00,0.07,-0.00,0.00,0.00,0.00
5.702,-0.09,-0.08,0.99,-0.08,0.01,0.07,-0.00,0.00,0.00,0.00
5.74,-0.09,-0.08,0.99,-0.08,0.01,0.07,0.00,0.00,0.00,0.00
5.76,-0.08,-0.08,0.99,-0.08,0.01,0.07,0.00,0.00,0.00,0.00
5.761,-0.08,-0.08,0.99,-0.10,0.00,0.03,0.00,0.00,0.00,0.00
5.828,-0.08,-0.08,0.99,-0.10,0.00,0.03,0.00,0.00,-0.00,0.00
5.841,-0.08,-0.08,0.99,-0.10,0.00,0.03,0.00,0.00,-0.00,0.00
5.843,-0.08,-0.08,0.99,-0.05,0.02,-0.03,0.00,0.00,-0.00,0.00
5.879,-0.08,-0.08,0.99,-0.05,0.02,-0.03,-0.00,0.01,0.01,0.00
5.9,-0.08,-0.08,0.99,-0.05,0.02,-0.03,-0.00,0.01,0.01,0.00
5.902,-0.08,-0.08,0.99,-0.04,-0.00,-0.02,-0.00,0.01,0.01,0.00
5.942,-0.08,-0.08,0.99,-0.04,-0.00,-0.02,0.00,0.00,0.00,0.00
5.959,-0.08,-0.08,0.98,-0.04,-0.00,-0.02,0.00,0.00,0.00,0.00
5.961,-0.08,-0.08,0.98,-0.02,-0.01,-0.04,0.00,0.00,0.00,0.00
6.03,-0.08,-0.08,0.98,-0.02,-0.01,-0.04,-0.00,-0.00,-0.00,0.00
6.039,-0.08,-0.08,0.98,-0.02,-0.01,-0.04,-0.00,-0.00,-0.00,0.00
6.041,-0.08,-0.08,0.98,-0.00,0.03,-0.05,-0.00,-0.00,-0.00,0.00
6.079,-0.08,-0.08,0.98,-0.00,0.03,-0.05,0.00,-0.00,-0.00,0.00
6.099,-0.08,-0.08,0.98,-0.00,0.03,-0.05,0.00,-0.00,-0.00,0.00
6.101,-0.08,-0.08,0.98,-0.03,0.00,-0.06,0.00,-0.00,-0.00,0.00
6.144,-0.08,-0.08,0.98,-0.03,0.00,-0.06,-0.00,-0.01,-0.00,0.00
6.178,-0.07,-0.08,0.98,-0.03,0.00,-0.06,-0.00,-0.01,-0.00,0.00
6.18,-0.07,-0.08,0.98,-0.01,0.01,-0.09,-0.00,-0.01,-0.00,0.00
6.218,-0.07,-0.08,0.98,-0.01,0.01,-0.09,0.00,-0.01,-0.00,0.00
6.247,-0.07,-0.08,0.99,-0.01,0.01,-0.09,0.00,-0.01,-0.00,0.00
6.25,-0.07,-0.08,0.99,0.05,-0.01,-0.06,0.00,-0.01,-0.00,0.00
6.277,-0.07,-0.08,0.99,0.05,-0.01,-0.06,-0.00,-0.02,-0.00,0.00
